business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees
2178327,GASABO,Other Service Activities,PRIVATE CORPORATION,2019,23,M,Diploma,0,Government Grant,15858768,17632838,19605368,21798558,Success,Increased,4
2534557,RUHANGO,Administrative And Support Service Activities,INDIVIDUAL,2021,21,F,Vocational/Technical,0,Crowdfunding,4215145,8070252,16346401,11689195,Fail,Increased,1
757249,KARONGI,Accommodation And Food Service Activities,PARTNERSHIP,2023,75,M,Bachelor's Degree,18,Personal Savings,3202612,3476455,3773713,4096388,Success,Increased,3
1126374,KARONGI,Other Service Activities,PRIVATE CORPORATION,2022,33,M,Secondary,0,Government Grant,5099465,5455841,5837122,6245049,Success,Increased,5
228012,KIREHE,Other Service Activities,LIMITED LIABILITY COMPANY,2021,34,M,Secondary,3,Personal Savings,328395,290770,257456,227958,Fail,Decreased,4
50000000,GASABO,Accommodation And Food Service Activities,COOPERATIVE,2021,25,M,Primary,0,Government Grant,51386724,150474284,98051873,99939070,Success,Increased,3
50000,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,51,F,PhD,1,Family/Friends,0,3363394,5455343,4900,Fail,Decreased,2
50000000,NYARUGENGE,Financial And Insurance Activities,PRIVATE CORPORATION,2022,50,F,No Formal Education,3,Family/Friends,0,410088776,488294266,477406046,Success,Increased,9
2316705,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,54,M,Bachelor's Degree,3,Bank Loan,0,5209540,4747253,3791742,Fail,Decreased,3
1591543,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2020,56,M,Secondary,15,Bank Loan,3893526,4639071,5527376,6585777,Success,Increased,3
50000000,RUTSIRO,Accommodation And Food Service Activities,INDIVIDUAL,2021,39,M,Bachelor's Degree,3,Foreign Investment,57030750,143227988,68090488,93222135,Success,Increased,4
50000000,GASABO,Real Estate Activities,PRIVATE CORPORATION,2022,26,M,Vocational/Technical,0,Bank Loan,0,4143876049,3755556803,1046050651,Success,Decreased,9
1292940,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2020,63,M,Diploma,15,Bank Loan,3179907,2691750,2278532,1928748,Fail,Decreased,8
10260509,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2023,42,M,Master's Degree,11,Foreign Investment,44831747,52139716,60638948,70523630,Success,Increased,13
371385,HUYE,Transportation And Storage,LIMITED LIABILITY COMPANY,2022,39,F,Bachelor's Degree,6,Personal Savings,285191,251556,221887,195718,Fail,Decreased,3
158098,MUSANZE,Construction,INDIVIDUAL,2022,37,F,Bachelor's Degree,2,Personal Savings,544694,675546,837832,1039104,Success,Increased,2
12137467,NYARUGENGE,Education,PRIVATE CORPORATION,2022,51,F,Vocational/Technical,3,Government Grant,0,28982149,58835151,31764327,Success,Increased,6
11739499,BURERA,Transportation And Storage,INDIVIDUAL,2022,46,M,PhD,5,Foreign Investment,0,35112212,11593396,34981213,Success,Decreased,1
1790270,KAYONZA,Education,LIMITED LIABILITY COMPANY,2019,35,M,Diploma,5,Government Grant,6427945,7084092,7807217,8604157,Success,Increased,5
575645,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,26,M,Diploma,1,Personal Savings,1123236,1201405,1285014,1374442,Success,Increased,3
235508,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2020,23,F,Primary,1,Personal Savings,1172883,1237764,1306235,1378493,Success,Increased,2
5695947,RUTSIRO,Education,COOPERATIVE,2022,47,F,Primary,1,Inheritance,0,6229684,10890829,16585058,Fail,Increased,3
32958491,RUTSIRO,Administrative And Support Service Activities,INDIVIDUAL,2021,32,M,Secondary,1,Microfinance,45343331,67905190,39948360,46493401,Success,Increased,7
52642,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,SOLE PROPRIETORSHIP,2019,50,M,Diploma,14,Bank Loan,30739,33356,36196,39278,Fail,Increased,1
515153,KICUKIRO,Financial And Insurance Activities,PRIVATE CORPORATION,2018,50,F,Secondary,2,Family/Friends,1442925,1552256,1669871,1796397,Success,Increased,2
50000000,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,34,M,Bachelor's Degree,1,Inheritance,0,68183002,137528656,83722724,Success,Increased,13
5113599,GICUMBI,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,42,M,Bachelor's Degree,0,Bank Loan,8015486,7648322,6351863,8445607,Success,Increased,5
9851224,RWAMAGANA,Transportation And Storage,PRIVATE CORPORATION,2020,38,M,Secondary,12,Bank Loan,74840773,87722656,102821818,120519906,Success,Increased,5
588057,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2019,33,M,PhD,5,Personal Savings,1345198,1528646,1737112,1974007,Success,Increased,2
1054461,BUGESERA,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2022,48,F,Master's Degree,5,Family/Friends,0,761177,898692,2000000,Fail,Increased,1
145622,KICUKIRO,Other Service Activities,INDIVIDUAL,2024,29,M,Diploma,0,Personal Savings,86393,80043,74159,68708,Fail,Decreased,4
456961,RUHANGO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,42,M,PhD,2,Bank Loan,1472661,1493297,951536,962432,Fail,Decreased,1
5585732,KAYONZA,Human Health And Social Work Activities,INDIVIDUAL,2022,35,F,PhD,0,Crowdfunding,0,20996458,10142240,14622316,Fail,Decreased,4
418636,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2024,36,M,Secondary,2,Personal Savings,687559,582506,493504,418101,Fail,Decreased,7
67077,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,30,M,Diploma,7,Family/Friends,93106,88782,84659,80728,Fail,Stable,3
2066968,KICUKIRO,Transportation And Storage,INDIVIDUAL,2021,22,M,Diploma,4,Personal Savings,1122023,1173636,1227624,1284095,Fail,Stable,4
3087409,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,46,M,Master's Degree,5,Foreign Investment,0,7261925,7886197,4241540,Fail,Decreased,2
50000000,NGORORERO,Manufacturing,COOPERATIVE,2022,26,F,Secondary,3,Family/Friends,0,90875777,58915625,106160529,Success,Increased,6
581827,KAMONYI,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,28,F,Secondary,0,Bank Loan,793923,678869,580488,496364,Fail,Decreased,4
479826,GAKENKE,Other Service Activities,INDIVIDUAL,2021,44,M,Certificate/Diploma,7,Venture Capital,1800000,1238160,6118235,3356410,Fail,Increased,1
4600446,KICUKIRO,Transportation And Storage,INDIVIDUAL,2021,39,M,Certificate/Diploma,2,Foreign Investment,9320002,2002000,7106000,8668000,Fail,Decreased,2
2608275,KICUKIRO,Transportation And Storage,INDIVIDUAL,2022,53,M,Bachelor's Degree,5,Personal Savings,0,2256589,6373069,4128876,Fail,Increased,3
50000000,RUTSIRO,Information And Communication,COOPERATIVE,2022,24,M,Master's Degree,0,Family/Friends,0,705779813,123592635,582347421,Success,Decreased,6
11394459,MUHANGA,Construction,PRIVATE CORPORATION,2021,52,F,Vocational/Technical,2,Business Partner,419986155,243841646,3138450,11728850,Success,Decreased,19
1270012,GASABO,Unclassified,INDIVIDUAL,2021,61,M,PhD,7,Bank Loan,2028234,951819,1045084,1601594,Fail,Decreased,2
111560,MUHANGA,Other Service Activities,COOPERATIVE,2022,29,M,Bachelor's Degree,1,Microfinance,0,1138659,353594,401199,Fail,Decreased,1
50000000,NYAMAGABE,Public Administration And Defence; Compulsory Social Security,JOINT VENTURE,2021,63,F,Secondary,5,Inheritance,116144622,72153601,93921738,392947023,Success,Increased,4
44455839,HUYE,Transportation And Storage,COOPERATIVE,2021,54,M,Vocational/Technical,2,Foreign Investment,108709470,86164314,111979334,89080850,Success,Decreased,8
739450,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,42,F,Secondary,11,Government Grant,316813,262244,217074,179684,Fail,Decreased,2
50000000,KAMONYI,Mining And Quarrying,COOPERATIVE,2021,27,M,Bachelor's Degree,1,Personal Savings,1935167551,3558020093,1575558219,6319986735,Success,Increased,8
432536,KAYONZA,Other Service Activities,INDIVIDUAL,2023,53,F,None,16,Family/Friends,582127,472203,383036,310706,Fail,Decreased,3
25527489,KAMONYI,Unclassified,PRIVATE CORPORATION,2021,54,M,Bachelor's Degree,2,Personal Savings,9870653,10761569,35549599,23462865,Success,Increased,4
50000000,NYARUGURU,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2021,22,M,Secondary,0,Government Grant,63707779,308028056,96806852,232318375,Success,Increased,9
80252,NYARUGENGE,Financial And Insurance Activities,SOLE PROPRIETORSHIP,2022,27,M,Diploma,0,Personal Savings,201879,249730,308923,382147,Success,Increased,1
944701,MUHANGA,Transportation And Storage,PRIVATE CORPORATION,2019,53,F,Diploma,15,Bank Loan,4886581,5645215,6521625,7534097,Success,Increased,4
1751649,KARONGI,Public Administration And Defence; Compulsory Social Security,COOPERATIVE,2022,26,M,Secondary,3,Venture Capital,0,6814140,4298761,5661267,Fail,Decreased,1
50000000,RWAMAGANA,Mining And Quarrying,INDIVIDUAL,2022,32,M,Master's Degree,0,Venture Capital,0,280516873,553655628,277519977,Success,Decreased,8
791564,NGOMA,Other Service Activities,PRIVATE CORPORATION,2021,24,F,Secondary,0,Personal Savings,349608,296948,252220,214229,Fail,Decreased,4
3841125,GASABO,Activities of Mobile Money Agents,SOLE PROPRIETORSHIP,2023,37,M,Secondary,12,Personal Savings,11391320,9890363,8587177,7455703,Fail,Decreased,9
505067,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2020,27,M,Secondary,6,Bank Loan,867261,966480,1077050,1200270,Success,Increased,3
50000000,KARONGI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2022,43,F,Secondary,3,Foreign Investment,0,232047762,369909866,125733197,Success,Decreased,3
391811,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2019,44,F,Secondary,3,Angel Investment,358465,375485,393313,411988,Fail,Stable,1
8696453,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,COOPERATIVE,2022,70,F,Master's Degree,2,Government Grant,0,3361793,9723521,16549858,Fail,Increased,1
5178875,KICUKIRO,Transportation And Storage,PRIVATE CORPORATION,2022,30,M,Bachelor's Degree,6,Bank Loan,18973192,20148517,21396649,22722099,Fail,Increased,11
1742226,NGOMA,Manufacturing,INDIVIDUAL,2021,41,M,Primary,0,Business Partner,1942211,2955470,4928579,2925464,Fail,Increased,2
955279,KAMONYI,Transportation And Storage,INDIVIDUAL,2021,52,F,Certificate/Diploma,7,Personal Savings,5179299,2659711,5171963,3329292,Success,Decreased,4
4178533,GISAGARA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,36,F,PhD,5,Microfinance,0,13390798,9762674,8480206,Fail,Decreased,1
22766738,GISAGARA,"Professional, Scientific And Technical Activities",INDIVIDUAL,2021,51,M,PhD,1,Foreign Investment,59693703,28093503,37804270,40174913,Success,Decreased,2
404843,NYAGATARE,Other Service Activities,PARTNERSHIP,2021,36,M,Secondary,6,Bank Loan,1723196,2034155,2401228,2834541,Success,Increased,2
393305,HUYE,Accommodation And Food Service Activities,LIMITED LIABILITY COMPANY,2022,63,F,Diploma,14,Personal Savings,274542,261751,249555,237928,Fail,Stable,1
138009,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,34,F,Secondary,0,Bank Loan,429352,515074,617911,741280,Success,Increased,4
120167,MUHANGA,Other Service Activities,INDIVIDUAL,2021,42,M,Primary,0,Microfinance,217504,192360,170123,150457,Fail,Decreased,6
19146574,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2021,52,F,Certificate/Diploma,3,Government Grant,25872105,17531622,25111737,29120624,Success,Increased,2
174478,KAYONZA,Other Service Activities,PRIVATE CORPORATION,2023,32,M,Secondary,0,Bank Loan,204916,169203,139714,115364,Fail,Decreased,2
258982,GASABO,Other Service Activities,SOLE PROPRIETORSHIP,2023,29,M,Primary,0,Personal Savings,87637,90387,93224,96150,Fail,Stable,1
239975,KAMONYI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,56,F,Diploma,10,Bank Loan,383683,402211,421634,441995,Fail,Increased,4
288193,NGORORERO,Accommodation And Food Service Activities,INDIVIDUAL,2021,23,M,Primary,0,Microfinance,1889840,3991045,2614869,920885,Fail,Decreased,1
219429,KIREHE,Accommodation And Food Service Activities,INDIVIDUAL,2021,22,F,Secondary,6,Personal Savings,380654,432690,491839,559074,Success,Increased,1
50000000,KICUKIRO,"Arts, Entertainment And Recreation",JOINT VENTURE,2022,46,F,Primary,7,Personal Savings,0,147960260,104989573,78305872,Success,Decreased,5
168157,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,30,M,Master's Degree,1,Personal Savings,2535905,1250742,1675809,647346,Fail,Decreased,1
691070,BUGESERA,Activities Of Extraterritorial Organizations And Bodies,JOINT VENTURE,2021,43,F,Secondary,1,Bank Loan,6676499,7110463,5432752,2889012,Fail,Decreased,3
1464103,NYARUGENGE,Financial And Insurance Activities,INDIVIDUAL,2023,52,F,Master's Degree,10,Bank Loan,4924824,6004525,7320936,8925952,Success,Increased,3
50000000,NGOMA,Transportation And Storage,INDIVIDUAL,2021,43,F,Vocational/Technical,1,Venture Capital,82549538,143446834,204550700,157539117,Success,Increased,2
719904,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,49,F,Secondary,9,Personal Savings,2954219,3110826,3275735,3449386,Success,Increased,2
50000,KAMONYI,Other Service Activities,INDIVIDUAL,2022,28,M,Secondary,0,Inheritance,0,15000,500000,59890,Fail,Increased,2
225032,RUSIZI,Other Service Activities,INDIVIDUAL,2020,46,M,Secondary,13,Personal Savings,607115,644084,683304,724912,Success,Increased,2
411875,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,35,F,None,3,Bank Loan,590558,517322,453168,396970,Fail,Decreased,5
966774,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,28,F,Master's Degree,1,Foreign Investment,2072810,4914282,2171849,2875721,Fail,Increased,1
1735131,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,42,M,Master's Degree,9,Bank Loan,14685412,16126786,17709631,19447833,Success,Increased,5
965614,MUSANZE,Other Service Activities,PRIVATE CORPORATION,2022,53,F,Diploma,12,Personal Savings,1638288,1798781,1974996,2168474,Fail,Increased,4
2134433,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2022,50,M,Diploma,20,Family/Friends,13884783,16654895,19977664,23963349,Success,Increased,10
422159,MUSANZE,Other Service Activities,PRIVATE CORPORATION,2021,34,F,Primary,3,Personal Savings,693520,793435,907745,1038524,Success,Increased,1
1258861,RWAMAGANA,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2022,44,M,Bachelor's Degree,4,Government Grant,0,3929934,2087688,3307616,Fail,Decreased,2
38203224,RUTSIRO,"Agriculture, Forestry And Fishing",PRIVATE CORPORATION,2021,45,M,Bachelor's Degree,4,Microfinance,34872154,147233488,40281443,122150367,Success,Increased,6
836817,RUTSIRO,Other Service Activities,INDIVIDUAL,2022,48,M,Secondary,1,Crowdfunding,0,977090,1350944,2938756,Fail,Increased,1
50000000,GICUMBI,Construction,COOPERATIVE,2022,43,M,Master's Degree,4,Family/Friends,0,121391038,202091046,379033905,Success,Increased,12
1886372,MUSANZE,Transportation And Storage,INDIVIDUAL,2022,51,M,Primary,4,Crowdfunding,0,7737121,2260850,4836420,Fail,Decreased,2
50000000,RULINDO,Real Estate Activities,JOINT VENTURE,2022,37,M,Secondary,0,Crowdfunding,0,224675307,141630722,298023876,Success,Increased,9
256092,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,30,M,Diploma,0,Personal Savings,412248,361631,317229,278279,Fail,Decreased,3
19477009,MUHANGA,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,40,F,Bachelor's Degree,2,Venture Capital,7080400,3293256,6795897,82991820,Success,Increased,2
50000000,RULINDO,"Electricity, Gas And Air Conditioning Supply",COOPERATIVE,2022,51,M,Primary,0,Family/Friends,0,75311431,98546885,160270016,Success,Increased,9
50000000,NYABIHU,"Professional, Scientific And Technical Activities",JOINT VENTURE,2022,43,F,Primary,1,Bank Loan,0,80714651,296684376,392011623,Success,Increased,8
50000,NGORORERO,Other Service Activities,INDIVIDUAL,2022,35,M,Certificate/Diploma,5,Business Partner,0,112739,124937,64233,Fail,Decreased,1
1787342,KICUKIRO,Other Service Activities,INDIVIDUAL,2020,41,M,Master's Degree,3,Family/Friends,6395866,7607976,9049799,10764868,Success,Increased,4
1010520,KICUKIRO,Administrative And Support Service Activities,PRIVATE CORPORATION,2023,33,F,Diploma,0,Bank Loan,5446317,5864568,6314939,6799896,Success,Increased,8
609158,NYARUGURU,"Arts, Entertainment And Recreation",INDIVIDUAL,2022,34,M,Bachelor's Degree,2,Inheritance,0,1485309,1230714,3137642,Fail,Increased,1
310434,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,49,F,Secondary,7,Government Grant,700166,2000000,2000000,2000000,Fail,Increased,1
50000000,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,26,F,Secondary,3,Inheritance,0,98108604,427095192,523466531,Success,Increased,10
3011712,BURERA,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,32,M,Master's Degree,0,Venture Capital,2730783,7442361,7514261,4881803,Success,Increased,6
50000000,MUSANZE,"Professional, Scientific And Technical Activities",COOPERATIVE,2021,32,M,Primary,2,Crowdfunding,23702103,47992360,62570396,59381039,Success,Increased,3
332741,KAYONZA,Financial And Insurance Activities,INDIVIDUAL,2022,60,F,Secondary,6,Family/Friends,216827,207471,198519,189953,Fail,Stable,1
50000000,GISAGARA,Construction,PRIVATE CORPORATION,2021,41,M,Vocational/Technical,3,Inheritance,392998829,285336243,272190465,407567076,Success,Increased,15
516337,MUHANGA,Transportation And Storage,INDIVIDUAL,2023,39,F,Secondary,3,Bank Loan,816269,974735,1163965,1389931,Success,Increased,1
884457,NGORORERO,Other Service Activities,PRIVATE CORPORATION,2020,43,M,PhD,1,Bank Loan,2267010,2436335,2618307,2813870,Fail,Increased,5
11515811,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,43,M,Primary,2,Bank Loan,85718430,146942148,98375532,15272262,Success,Decreased,3
317066,KARONGI,Other Service Activities,LIMITED LIABILITY COMPANY,2020,28,M,Bachelor's Degree,5,Bank Loan,190605,163289,139887,119839,Fail,Decreased,4
50000000,NYANZA,"Water Supply, Gas And Remediation Services",PRIVATE CORPORATION,2021,32,M,Bachelor's Degree,4,Government Grant,21704089,70291704,66159049,82849536,Success,Increased,9
925662,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,47,M,Diploma,6,Bank Loan,1560590,1936054,2401851,2979715,Success,Increased,1
1393940,RUTSIRO,"Professional, Scientific And Technical Activities",INDIVIDUAL,2022,39,F,PhD,2,Business Partner,0,10409853,2701541,3322755,Fail,Decreased,1
247844,NYARUGENGE,Other Service Activities,LIMITED LIABILITY COMPANY,2021,22,M,Primary,7,Personal Savings,220682,208689,197348,186623,Fail,Decreased,2
699646,GATSIBO,Other Service Activities,PARTNERSHIP,2023,51,M,Secondary,11,Personal Savings,590782,572424,554636,537401,Fail,Stable,1
5037479,GASABO,Transportation And Storage,INDIVIDUAL,2021,25,M,Vocational/Technical,0,Foreign Investment,7656399,12059396,6428937,9158877,Fail,Increased,2
174726,MUSANZE,Other Service Activities,INDIVIDUAL,2023,22,M,Master's Degree,0,Family/Friends,59510,61504,63565,65695,Fail,Stable,1
50000000,NYABIHU,Manufacturing,COOPERATIVE,2021,21,F,Bachelor's Degree,0,Family/Friends,504854476,1199133865,177045215,1035288825,Success,Increased,12
1405711,GATSIBO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,51,M,Secondary,0,Business Partner,6226277,7564187,2228552,2846935,Fail,Decreased,3
3558751,RWAMAGANA,Other Service Activities,LIMITED LIABILITY COMPANY,2022,43,M,Diploma,9,Family/Friends,25079527,28139160,31572059,35423763,Success,Increased,9
2270719,NYARUGURU,Human Health And Social Work Activities,JOINT VENTURE,2022,21,M,Bachelor's Degree,0,Bank Loan,0,11407713,15776828,6937561,Fail,Decreased,1
48702240,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2021,29,M,Vocational/Technical,2,Government Grant,50135572,86051165,39072551,46491429,Success,Decreased,4
22979229,KICUKIRO,Education,PRIVATE CORPORATION,2021,44,M,Bachelor's Degree,2,Family/Friends,18529730,21267366,46022383,53714576,Success,Increased,3
3544650,NYARUGENGE,Construction,PARTNERSHIP,2023,36,F,Bachelor's Degree,3,Family/Friends,18538725,21621418,25216714,29409850,Success,Increased,4
15813713,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,49,F,Primary,5,Personal Savings,3254308,8910720,3879354,19950000,Success,Increased,3
555609,GASABO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2023,38,F,Bachelor's Degree,1,Personal Savings,943238,1031050,1127037,1231961,Fail,Increased,3
50000,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,34,M,Primary,3,Government Grant,6536679,4286149,6615800,73770,Fail,Decreased,1
19532768,GASABO,Education,JOINT VENTURE,2021,52,M,Vocational/Technical,2,Foreign Investment,51931827,32314522,46169156,38681951,Success,Decreased,5
50000000,NYARUGENGE,Construction,PRIVATE CORPORATION,2022,24,F,Secondary,0,Bank Loan,0,84968838,69972872,86282683,Success,Increased,5
8485747,MUHANGA,Accommodation And Food Service Activities,PRIVATE CORPORATION,2024,50,M,Master's Degree,17,Bank Loan,13349652,10973060,9019564,7413842,Fail,Decreased,5
3368504,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,37,F,Master's Degree,3,Bank Loan,17393196,20848381,24989944,29954235,Success,Increased,10
41462941,NYABIHU,Construction,PRIVATE CORPORATION,2021,51,M,Master's Degree,3,Venture Capital,2000000,222447662,359696255,24027942,Success,Increased,9
437260,GATSIBO,Construction,PARTNERSHIP,2023,41,M,Master's Degree,3,Bank Loan,2207422,2605472,3075300,3629849,Success,Increased,3
1187690,NYAMASHEKE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2023,28,F,Diploma,0,Bank Loan,7328086,8709838,10352127,12304079,Success,Increased,3
91834,NYARUGENGE,Transportation And Storage,COOPERATIVE,2022,40,M,PhD,1,Family/Friends,290370,308432,327618,347998,Success,Increased,1
890164,GASABO,Construction,LIMITED LIABILITY COMPANY,2022,47,F,Bachelor's Degree,16,Bank Loan,3836407,4550770,5398152,6403322,Success,Increased,3
2327469,NYABIHU,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,INDIVIDUAL,2021,21,M,Secondary,2,Inheritance,11348879,10931288,12203256,8270623,Fail,Decreased,4
50000000,BURERA,"Water Supply, Gas And Remediation Services",PRIVATE CORPORATION,2021,41,M,Vocational/Technical,0,Bank Loan,40289681,170051407,119279697,121393054,Success,Increased,7
820147,NYAMAGABE,Other Service Activities,INDIVIDUAL,2022,42,F,Vocational/Technical,0,Inheritance,0,4068374,3583284,3288697,Fail,Decreased,1
460083,KIREHE,Other Service Activities,INDIVIDUAL,2021,31,M,Primary,7,Family/Friends,1653228,2043626,2526214,3122762,Success,Increased,2
1922754,RWAMAGANA,Other Service Activities,LIMITED LIABILITY COMPANY,2020,22,F,Diploma,0,Foreign Investment,6443855,7784907,9405050,11362367,Success,Increased,6
50000000,RWAMAGANA,Administrative And Support Service Activities,PRIVATE CORPORATION,2021,62,F,Bachelor's Degree,1,Government Grant,110892921,97980309,196258012,253870540,Success,Increased,5
972893,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2023,48,F,Master's Degree,3,Bank Loan,6652096,7037730,7445720,7877361,Success,Increased,6
271766,KAMONYI,"Agriculture, Forestry And Fishing",PRIVATE CORPORATION,2021,38,M,No Formal Education,1,Microfinance,874339,2331568,517991,734240,Fail,Decreased,3
1656354,KAMONYI,Financial And Insurance Activities,COOPERATIVE,2020,36,M,Bachelor's Degree,9,Bank Loan,7210126,8134519,9177426,10354042,Success,Increased,3
46521765,NYABIHU,Information And Communication,INDIVIDUAL,2022,28,M,Bachelor's Degree,1,Foreign Investment,0,46720525,85956274,92990932,Success,Increased,2
19921459,KICUKIRO,Transportation And Storage,PRIVATE CORPORATION,2022,41,F,Primary,5,Business Partner,0,4295306,1,14000000,Success,Increased,7
2092643,RUTSIRO,"Arts, Entertainment And Recreation",INDIVIDUAL,2022,38,M,Vocational/Technical,7,Business Partner,0,6977669,8793211,8307631,Fail,Increased,2
50000000,MUHANGA,Human Health And Social Work Activities,COOPERATIVE,2021,34,F,Master's Degree,1,Inheritance,295709758,154342725,189629339,190274742,Success,Decreased,4
1654534,RUSIZI,Other Service Activities,PRIVATE CORPORATION,2022,44,M,Bachelor's Degree,14,Bank Loan,7828318,9604418,11783483,14456937,Success,Increased,5
1323210,GAKENKE,Human Health And Social Work Activities,COOPERATIVE,2022,21,M,Secondary,1,Foreign Investment,0,7091078,2481913,3170679,Fail,Decreased,5
620691,KIREHE,Other Service Activities,PARTNERSHIP,2019,40,M,Primary,3,Personal Savings,2180062,2412314,2669309,2953682,Success,Increased,2
1073960,RWAMAGANA,Other Service Activities,PRIVATE CORPORATION,2021,22,M,Master's Degree,0,Bank Loan,4044287,4762059,5607220,6602379,Success,Increased,8
100503,KAMONYI,Education,INDIVIDUAL,2022,45,M,Diploma,5,Bank Loan,104617,105781,106958,108148,Fail,Stable,1
378040,NGOMA,Other Service Activities,PARTNERSHIP,2021,27,M,Bachelor's Degree,1,Family/Friends,254514,239242,224886,211391,Fail,Decreased,1
50000000,NYAGATARE,Information And Communication,COOPERATIVE,2022,30,M,Bachelor's Degree,0,Microfinance,0,520120920,422078425,606191264,Success,Increased,8
99478,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2023,34,M,Diploma,3,Bank Loan,368134,438092,521345,620419,Success,Increased,2
942472,KICUKIRO,Transportation And Storage,LIMITED LIABILITY COMPANY,2020,35,F,Diploma,4,Bank Loan,7284727,8597913,10147822,11977126,Success,Increased,5
3082923,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2021,40,M,Primary,9,Government Grant,16738363,18219121,19830874,21585210,Success,Increased,10
