business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees,employment_2021,employment_2022,employment_2023,employment_2024,employment_growth
30580419,NYAGATARE,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,PRIVATE CORPORATION,2022,28,M,Certificate/Diploma,0,Venture Capital,0,15003341,72133614,29879183,Success,Increased,7,0,7,8,9,Increased
849048,NYAGATARE,Motorcycle transport,LIMITED LIABILITY COMPANY,2021,42,M,Bachelor's Degree,7,Personal Savings,3271848,3848251,4526200,5323584,Success,Increased,5,5,6,6,7,Increased
4064947,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,28,M,Vocational/Technical,2,Crowdfunding,0,32646510,28077397,12440650,Fail,Decreased,3,0,3,2,1,Decreased
574910,RUBAVU,Education,INDIVIDUAL,2021,33,M,Bachelor's Degree,3,Inheritance,894095,1281930,1032899,1540630,Fail,Increased,2,2,1,1,1,Decreased
50000000,RUHANGO,Financial And Insurance Activities,INDIVIDUAL,2021,41,M,Vocational/Technical,2,Venture Capital,70116499,116892611,131520685,88991116,Success,Increased,6,6,7,7,8,Increased
4857318,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,40,M,Master's Degree,2,Family/Friends,0,12161416,28054941,10475596,Success,Decreased,4,0,4,3,2,Decreased
4554317,GASABO,Other Service Activities,PRIVATE CORPORATION,2022,35,F,Certificate/Diploma,0,Business Partner,0,3268664,191265613,19799132,Fail,Increased,4,0,4,2,1,Decreased
50000000,RUBAVU,Financial And Insurance Activities,INDIVIDUAL,2021,39,M,PhD,5,Foreign Investment,52567396,132304225,115451776,138014265,Success,Increased,8,8,9,10,12,Increased
2838234,RULINDO,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,51,F,Bachelor's Degree,5,Foreign Investment,6129124,9770250,12901680,6525300,Fail,Increased,2,2,2,2,1,Decreased
364141,GATSIBO,Other Service Activities,INDIVIDUAL,2022,21,M,Bachelor's Degree,0,Venture Capital,0,410170,432250,1757450,Fail,Increased,1,0,1,1,1,Stable
15198159,BUGESERA,Real Estate Activities,JOINT VENTURE,2021,29,M,Bachelor's Degree,4,Business Partner,79277200,83967112,39393932,29560834,Success,Decreased,5,5,5,4,4,Decreased
589474,NYAMAGABE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,28,F,Vocational/Technical,2,Government Grant,500000,89549006,1000000,964000,Fail,Increased,5,5,4,3,2,Decreased
50000000,GATSIBO,Information And Communication,PRIVATE CORPORATION,2022,40,M,Vocational/Technical,2,Government Grant,0,298734032,190617797,255895102,Success,Decreased,7,0,7,6,5,Decreased
50000000,NYARUGURU,"Arts, Entertainment And Recreation",INDIVIDUAL,2022,51,F,Primary,2,Business Partner,0,20493581,41141362,92485470,Success,Increased,7,0,7,7,8,Increased
575092,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,27,M,Bachelor's Degree,3,Bank Loan,360579,329452,301012,275027,Fail,Decreased,1,0,1,1,1,Stable
3354576,KICUKIRO,Transportation And Storage,INDIVIDUAL,2021,48,M,Primary,5,Venture Capital,15535174,16560758,5486041,7071097,Fail,Decreased,1,1,1,1,1,Stable
5037479,GASABO,Transportation And Storage,INDIVIDUAL,2021,25,M,Vocational/Technical,0,Foreign Investment,7656399,12059396,6428937,9158877,Success,Increased,2,2,2,2,1,Decreased
19998992,KIREHE,Transportation And Storage,INDIVIDUAL,2022,21,M,PhD,3,Microfinance,0,54203340,74559475,62335202,Success,Increased,4,0,4,4,5,Increased
85236,KAYONZA,Other Service Activities,LIMITED LIABILITY COMPANY,2022,42,M,Secondary,1,Bank Loan,287128,323274,363971,409791,Success,Increased,1,0,1,1,1,Stable
460394,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,28,F,Diploma,1,Personal Savings,459528,430457,403225,377716,Fail,Decreased,1,0,1,1,1,Stable
1938293,HUYE,Education,JOINT VENTURE,2022,38,M,Vocational/Technical,3,Family/Friends,0,16863858,4775219,16439376,Fail,Decreased,3,0,3,2,1,Decreased
230937,MUSANZE,Other Service Activities,JOINT VENTURE,2021,39,M,Secondary,4,Bank Loan,3103112,929285,1843328,2486899,Fail,Decreased,1,1,1,1,1,Stable
443014,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,30,F,Primary,2,Microfinance,0,5797386,200000,990525,Success,Decreased,3,0,3,2,1,Decreased
35840113,KICUKIRO,Transportation And Storage,COOPERATIVE,2022,41,M,Bachelor's Degree,2,Bank Loan,0,39567322,232069968,81609183,Success,Increased,4,0,4,5,6,Increased
1404112,NYARUGENGE,Transportation And Storage,LIMITED LIABILITY COMPANY,2022,26,M,PhD,0,Bank Loan,8778970,10111495,11646279,13414022,Success,Increased,5,0,5,6,7,Increased
155043,KAMONYI,"Agriculture, Forestry And Fishing",JOINT VENTURE,2022,36,F,No Formal Education,1,Inheritance,0,587656,358132,795048,Fail,Increased,2,0,2,1,1,Decreased
50000000,HUYE,Transportation And Storage,COOPERATIVE,2022,22,M,Bachelor's Degree,1,Family/Friends,0,178279522,366736916,128045711,Success,Decreased,5,0,5,5,4,Decreased
581827,KAMONYI,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,28,F,Secondary,0,Bank Loan,793923,678869,580488,496364,Fail,Decreased,4,0,4,3,2,Decreased
2558559,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,27,F,Certificate/Diploma,3,Family/Friends,412373,1900875,9138700,4965900,Fail,Increased,1,1,1,1,1,Stable
661931,GICUMBI,"Professional, Scientific And Technical Activities",INDIVIDUAL,2021,35,M,Certificate/Diploma,5,Foreign Investment,2834563,3510519,4013043,1120594,Fail,Decreased,1,1,1,1,1,Stable
50000000,GAKENKE,Transportation And Storage,JOINT VENTURE,2021,63,F,Bachelor's Degree,4,Crowdfunding,30353569,68409746,59216834,83078489,Success,Increased,9,9,11,12,14,Increased
1001207,RUTSIRO,Other Service Activities,COOPERATIVE,2021,47,M,Vocational/Technical,7,Government Grant,3511272,4927385,3220982,3002128,Fail,Decreased,1,1,1,1,1,Stable
10591195,KAMONYI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,38,F,Certificate/Diploma,3,Government Grant,0,12701618,9569845,16604270,Success,Increased,2,0,2,2,2,Stable
6057563,KAMONYI,Activities Of Extraterritorial Organizations And Bodies,PRIVATE CORPORATION,2021,30,M,Master's Degree,0,Personal Savings,3965249,8828662,9150336,12428221,Fail,Increased,4,4,3,2,1,Decreased
4969936,KAYONZA,Other Service Activities,PRIVATE CORPORATION,2021,33,F,Secondary,2,Government Grant,14354805,7381053,15607555,9069742,Success,Decreased,4,4,4,3,3,Decreased
390863,KIREHE,Motorcycle transport,PARTNERSHIP,2021,50,M,Bachelor's Degree,3,Bank Loan,187030,181850,176813,171916,Fail,Stable,4,4,3,2,1,Decreased
2735074,KICUKIRO,Accommodation And Food Service Activities,INDIVIDUAL,2022,69,F,Master's Degree,0,Venture Capital,0,4166975,3221151,3829201,Fail,Decreased,1,0,1,1,1,Stable
5429247,NYARUGENGE,Administrative And Support Service Activities,PRIVATE CORPORATION,2022,32,M,Primary,0,Government Grant,22795358,26907939,31762484,37492853,Success,Increased,9,0,9,10,10,Increased
21806204,KIREHE,"Arts, Entertainment And Recreation",JOINT VENTURE,2022,32,M,Bachelor's Degree,2,Venture Capital,0,8938209,19243807,16734058,Success,Increased,7,0,7,8,9,Increased
1283338,KICUKIRO,Financial And Insurance Activities,INDIVIDUAL,2022,23,M,Diploma,0,Bank Loan,2011142,2031584,2052234,2073094,Success,Stable,5,0,5,4,3,Decreased
96849,RUBAVU,Information And Communication,INDIVIDUAL,2022,42,F,Secondary,14,Bank Loan,272807,287019,301972,317704,Success,Increased,1,0,1,1,1,Stable
50000000,GATSIBO,Construction,PRIVATE CORPORATION,2022,48,F,Secondary,3,Family/Friends,0,1738159904,706914630,3106779835,Success,Increased,10,0,10,11,11,Stable
741348,RUSIZI,Other Service Activities,INDIVIDUAL,2022,31,F,Bachelor's Degree,2,Bank Loan,3969040,4179679,4401497,4635087,Success,Increased,3,0,3,3,3,Stable
4287509,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2021,34,M,Bachelor's Degree,5,Personal Savings,25147774,30048495,35904254,42901165,Success,Increased,8,8,10,10,11,Increased
1339707,NGOMA,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,34,M,PhD,3,Family/Friends,3573896,4319547,5220769,6310020,Success,Increased,5,5,6,7,8,Increased
50000,GISAGARA,"Agriculture, Forestry And Fishing",COOPERATIVE,2021,52,M,Vocational/Technical,1,Business Partner,1790910,938619,4093028,1410694,Fail,Decreased,1,1,1,1,1,Stable
50000000,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,52,M,Master's Degree,6,Business Partner,0,73000000,526069000,127654574,Success,Increased,7,0,7,8,9,Increased
7024836,KIREHE,"Electricity, Gas And Air Conditioning Supply",PRIVATE CORPORATION,2021,47,M,Secondary,5,Business Partner,26681401,3789172,32232974,16428981,Success,Decreased,3,3,3,2,2,Decreased
5196781,GASABO,"Professional, Scientific And Technical Activities",COOPERATIVE,2022,39,M,Secondary,3,Bank Loan,0,15294990,7632826,6494619,Fail,Decreased,3,0,3,2,1,Decreased
50000,GASABO,Unclassified,PRIVATE CORPORATION,2022,35,M,Certificate/Diploma,6,Government Grant,0,74782153,48065195,20700,Success,Decreased,5,0,5,4,3,Decreased
10829940,BUGESERA,Other Service Activities,PRIVATE CORPORATION,2022,25,M,Bachelor's Degree,3,Family/Friends,0,7369500,19701000,25857000,Success,Increased,7,0,7,8,8,Increased
2803549,MUHANGA,Education,JOINT VENTURE,2021,38,M,Bachelor's Degree,2,Family/Friends,11811801,20517967,13885764,14528705,Fail,Increased,3,3,2,1,1,Decreased
471690,GASABO,Transportation And Storage,INDIVIDUAL,2021,48,F,Secondary,6,Family/Friends,250160,220223,193869,170669,Success,Decreased,2,2,2,1,1,Decreased
176310,RUSIZI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,44,F,Secondary,3,Bank Loan,97007,99098,101235,103418,Fail,Stable,2,2,2,1,1,Decreased
50000000,GASABO,Financial And Insurance Activities,JOINT VENTURE,2022,55,F,Bachelor's Degree,0,Bank Loan,0,369324056,593999909,439851477,Success,Increased,4,0,4,4,4,Stable
533641,RWAMAGANA,Transportation And Storage,PRIVATE CORPORATION,2021,41,M,Secondary,5,Personal Savings,602016,506717,426504,358988,Fail,Decreased,2,2,2,2,1,Decreased
8194152,NYAMAGABE,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,45,F,Bachelor's Degree,0,Crowdfunding,16188814,15228589,23041083,23472037,Success,Increased,8,8,9,10,12,Increased
50000,KAMONYI,Other Service Activities,INDIVIDUAL,2022,28,M,Secondary,0,Inheritance,0,15000,500000,59890,Fail,Increased,2,0,2,1,1,Decreased
19991509,NGORORERO,Unclassified,INDIVIDUAL,2022,42,M,Master's Degree,0,Foreign Investment,0,63021680,41603902,62950409,Success,Decreased,3,0,3,3,2,Decreased
5269165,RUBAVU,Unclassified,JOINT VENTURE,2022,40,M,Master's Degree,3,Microfinance,0,18713589,62134148,12640096,Success,Decreased,3,0,3,3,2,Decreased
4677414,KARONGI,Activities Of Extraterritorial Organizations And Bodies,INDIVIDUAL,2021,48,F,Bachelor's Degree,3,Foreign Investment,24401944,15434971,13249530,11082654,Fail,Decreased,1,1,1,1,1,Stable
7818830,KARONGI,Transportation And Storage,INDIVIDUAL,2022,46,M,Bachelor's Degree,7,Microfinance,0,48392493,34592234,20712520,Success,Decreased,2,0,2,2,2,Stable
1271251,KAYONZA,Transportation And Storage,INDIVIDUAL,2021,47,M,Master's Degree,7,Bank Loan,4176256,2127523,5288920,3850245,Fail,Decreased,1,1,1,1,1,Stable
2913746,RUHANGO,Administrative And Support Service Activities,COOPERATIVE,2022,26,F,Secondary,2,Inheritance,0,3494747,8759266,6401783,Success,Increased,6,0,6,7,7,Increased
50000000,NGORORERO,Mining And Quarrying,JOINT VENTURE,2021,45,F,Secondary,0,Crowdfunding,69707415,131419480,129832734,247068689,Success,Increased,6,6,6,7,7,Increased
838558,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,49,M,Diploma,11,Foreign Investment,2210233,2447279,2709748,3000366,Success,Increased,2,0,2,2,2,Stable
3338871,KICUKIRO,Other Service Activities,INDIVIDUAL,2022,59,M,Vocational/Technical,5,Personal Savings,0,6609313,10621786,4387427,Success,Decreased,3,0,3,3,2,Decreased
7981758,KAMONYI,Mining And Quarrying,PRIVATE CORPORATION,2021,28,M,Primary,2,Personal Savings,745313301,1154913675,1111003,4920100,Success,Decreased,11,11,10,9,7,Decreased
50000000,NYARUGENGE,Transportation And Storage,COOPERATIVE,2022,49,M,Secondary,4,Personal Savings,0,427842818,926508637,276581684,Success,Decreased,9,0,9,9,9,Stable
11641750,KAMONYI,Education,COOPERATIVE,2022,35,M,Bachelor's Degree,1,Bank Loan,0,10389899,15439553,22412081,Success,Increased,6,0,6,7,7,Increased
50000000,MUSANZE,"Professional, Scientific And Technical Activities",COOPERATIVE,2021,32,M,Primary,2,Crowdfunding,23702103,47992360,62570396,59381039,Success,Increased,3,3,3,4,4,Increased
12189539,GISAGARA,Manufacturing,JOINT VENTURE,2021,59,F,Bachelor's Degree,7,Bank Loan,8815436,10023101,27157431,19681655,Success,Increased,3,3,4,5,6,Increased
1565932,KAMONYI,"Agriculture, Forestry And Fishing",INDIVIDUAL,2022,29,M,Master's Degree,2,Government Grant,9768331,11378002,13252922,15436800,Success,Increased,4,0,4,4,5,Increased
50000000,GASABO,Real Estate Activities,COOPERATIVE,2021,21,F,Secondary,1,Inheritance,50461297,91601147,77535980,67045805,Success,Increased,4,4,5,5,5,Increased
509711,KAYONZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,48,F,Secondary,11,Personal Savings,220501,181842,149961,123669,Fail,Decreased,2,2,2,1,1,Decreased
26892115,MUHANGA,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,40,M,Master's Degree,1,Government Grant,34109809,149124543,62311136,99861722,Success,Increased,3,3,4,4,4,Increased
2213444,KICUKIRO,"Agriculture, Forestry And Fishing",JOINT VENTURE,2021,23,F,Secondary,0,Family/Friends,2750126,2713120,2255793,2857841,Fail,Increased,5,5,4,3,2,Decreased
1062409,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,37,F,Bachelor's Degree,5,Government Grant,3788987,4122848,4486127,4881415,Success,Increased,2,0,2,2,2,Stable
476829,GISAGARA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,53,M,PhD,2,Venture Capital,0,321689,816271,1509650,Fail,Increased,1,0,1,1,1,Stable
463564,KAYONZA,Other Service Activities,COOPERATIVE,2022,27,F,Diploma,0,Bank Loan,598231,501212,419927,351825,Fail,Decreased,3,0,3,2,1,Decreased
424016,RUBAVU,Transportation And Storage,INDIVIDUAL,2022,21,M,Certificate/Diploma,0,Inheritance,0,10591222,10538664,11737242,Fail,Increased,1,0,1,1,1,Stable
13128276,RUHANGO,Accommodation And Food Service Activities,COOPERATIVE,2021,21,M,Secondary,1,Crowdfunding,11348343,22562961,26162050,25895156,Success,Increased,3,3,3,3,3,Stable
521655,NGORORERO,Motorcycle transport,LIMITED LIABILITY COMPANY,2022,38,M,Secondary,8,Angel Investment,186262,150896,122245,99034,Fail,Decreased,1,0,1,1,1,Stable
59588,KAYONZA,Other Service Activities,LIMITED LIABILITY COMPANY,2022,39,M,Secondary,2,Bank Loan,379778,440201,510237,591416,Success,Increased,5,0,5,6,7,Increased
223259,GICUMBI,Motorcycle transport,PRIVATE CORPORATION,2022,39,F,Diploma,4,Family/Friends,847310,1026343,1243205,1505889,Success,Increased,5,0,5,5,5,Stable
1604391,GISAGARA,"Electricity, Gas And Air Conditioning Supply",COOPERATIVE,2021,25,M,Secondary,0,Business Partner,2786561,430833,2571325,2049292,Fail,Decreased,3,3,2,2,1,Decreased
808482,KARONGI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,27,M,Bachelor's Degree,0,Personal Savings,487063,482023,477035,472099,Fail,Stable,1,1,1,1,1,Stable
2251608,RUBAVU,"Agriculture, Forestry And Fishing",JOINT VENTURE,2021,52,F,Bachelor's Degree,1,Crowdfunding,4050686,2878646,3917134,7778957,Fail,Increased,2,2,2,1,1,Decreased
50000,KARONGI,Other Service Activities,INDIVIDUAL,2022,44,F,Master's Degree,4,Microfinance,14950,15167,15387,15610,Fail,Stable,2,0,2,1,1,Decreased
495464,NYANZA,Other Service Activities,INDIVIDUAL,2022,53,M,Certificate/Diploma,4,Venture Capital,0,2092707,3007812,1351207,Success,Decreased,4,0,4,3,2,Decreased
200224,HUYE,Other Service Activities,INDIVIDUAL,2022,41,F,Secondary,1,Family/Friends,130758,127298,123930,120651,Fail,Stable,1,0,1,1,1,Stable
631258,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,45,F,Bachelor's Degree,5,Family/Friends,500860,478506,457149,436745,Fail,Stable,3,0,3,2,1,Decreased
50000,MUHANGA,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2022,50,F,Secondary,4,Business Partner,0,100000,148000,60033,Fail,Decreased,1,0,1,1,1,Stable
16621158,GASABO,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2022,42,M,Master's Degree,2,Bank Loan,0,18556090,22732548,22037073,Success,Increased,2,0,2,2,2,Stable
1853643,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,47,F,Secondary,6,Government Grant,0,25001,2053513,5437800,Success,Increased,3,0,3,3,3,Stable
899043,BUGESERA,Other Service Activities,SOLE PROPRIETORSHIP,2021,22,M,Bachelor's Degree,0,Bank Loan,3684764,4567536,5661797,7018214,Success,Increased,4,4,4,5,6,Increased
159905,KICUKIRO,Human Health And Social Work Activities,INDIVIDUAL,2022,36,M,Primary,3,Bank Loan,0,1326951,553310,1232682,Fail,Decreased,1,0,1,1,1,Stable
3656074,NYAGATARE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,48,M,Primary,1,Crowdfunding,0,23791657,10119951,11779497,Fail,Decreased,2,0,2,1,1,Decreased
1140239,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,36,M,Master's Degree,4,Venture Capital,3204129,7237659,5958821,899664,Fail,Decreased,2,2,2,2,1,Decreased
623268,RUHANGO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,21,F,No Formal Education,0,Family/Friends,926068,2000000,2000000,2000000,Fail,Increased,1,1,1,1,1,Stable
49317538,NYAMASHEKE,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,31,F,Secondary,2,Venture Capital,25764960,14325090,35605971,75580532,Success,Increased,5,5,6,6,6,Increased
5171331,NYARUGENGE,Education,LIMITED LIABILITY COMPANY,2021,45,M,Diploma,20,Bank Loan,42016439,47758210,54284625,61702910,Success,Increased,12,12,14,16,19,Increased
77665,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,21,F,Certificate/Diploma,0,Inheritance,450000,765600,1012600,247430,Fail,Decreased,1,1,1,1,1,Stable
25736222,RWAMAGANA,Transportation And Storage,INDIVIDUAL,2021,30,M,Secondary,1,Inheritance,38962602,39158416,71717814,49783237,Success,Increased,2,2,2,2,2,Stable
29467270,NYANZA,Transportation And Storage,COOPERATIVE,2021,59,M,Primary,3,Crowdfunding,42534459,34807697,41288267,41013697,Success,Decreased,5,5,4,3,2,Decreased
183037,NYAMASHEKE,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,33,F,Primary,2,Government Grant,21397426,27534128,8120940,139050,Success,Decreased,7,7,6,5,5,Decreased
246181,KICUKIRO,Other Service Activities,PARTNERSHIP,2022,41,M,Diploma,1,Personal Savings,666219,728738,797124,871927,Success,Increased,2,0,2,2,2,Stable
13792792,KICUKIRO,"Professional, Scientific And Technical Activities",JOINT VENTURE,2021,43,M,Vocational/Technical,4,Inheritance,30589618,14261561,17363437,13061140,Success,Decreased,3,3,3,3,3,Stable
819994,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,48,M,Secondary,8,Bank Loan,4719154,5562136,6555700,7726744,Success,Increased,4,0,4,4,4,Stable
12382337,MUSANZE,Administrative And Support Service Activities,INDIVIDUAL,2021,35,M,Secondary,2,Inheritance,5177237,27013393,26326662,21854124,Success,Increased,3,3,3,3,3,Stable
91271,KAYONZA,"Arts, Entertainment And Recreation",INDIVIDUAL,2021,41,M,Vocational/Technical,2,Microfinance,443183,1650030,381689,1191439,Success,Increased,1,1,1,1,1,Stable
12084593,NYARUGENGE,Unclassified,COOPERATIVE,2021,30,M,Master's Degree,1,Venture Capital,29133659,11124027,25954522,19665632,Success,Decreased,2,2,2,2,2,Stable
2074452,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,40,M,Master's Degree,6,Family/Friends,14411417,15854646,17442407,19189174,Success,Increased,5,0,5,6,6,Increased
4603322,RUHANGO,"Professional, Scientific And Technical Activities",JOINT VENTURE,2022,38,M,Certificate/Diploma,7,Business Partner,0,5947814,14075452,4789802,Success,Decreased,5,0,5,4,4,Decreased
5271326,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,43,F,Primary,4,Business Partner,0,2528209,11247229,5435417,Success,Increased,7,0,7,8,8,Increased
45275473,NYAGATARE,"Electricity, Gas And Air Conditioning Supply",PRIVATE CORPORATION,2021,45,M,Secondary,1,Personal Savings,32145372,42421750,24996422,34045145,Success,Increased,6,6,6,7,7,Increased
50000000,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,37,M,Secondary,2,Family/Friends,0,114661102,508649619,581582654,Success,Increased,6,0,6,7,8,Increased
431669,NYAGATARE,Other Service Activities,INDIVIDUAL,2022,40,F,Primary,8,Bank Loan,610335,740537,898515,1090195,Success,Increased,1,0,1,1,1,Stable
390168,GICUMBI,Other Service Activities,PRIVATE CORPORATION,2021,32,F,Diploma,2,Bank Loan,195607,199352,203169,207059,Fail,Stable,4,4,3,2,2,Decreased
6990250,KAYONZA,Information And Communication,INDIVIDUAL,2021,47,F,Secondary,3,Crowdfunding,5083148,5059555,17918853,7225636,Fail,Increased,1,1,1,1,1,Stable
627901,NGORORERO,Other Service Activities,COOPERATIVE,2021,47,M,Secondary,13,Bank Loan,287621,244623,208053,176950,Fail,Decreased,1,1,1,1,1,Stable
50000000,NYARUGENGE,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,49,M,Master's Degree,2,Venture Capital,63164174,14240000,3765000,69607233,Success,Increased,6,6,7,8,8,Increased
50000,NYABIHU,"Agriculture, Forestry And Fishing",INDIVIDUAL,2021,47,F,Bachelor's Degree,6,Venture Capital,183743,109367,128030,72859,Fail,Decreased,1,1,1,1,1,Stable
385023,GISAGARA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,36,M,Vocational/Technical,0,Inheritance,0,10431706,8294979,1949742,Fail,Decreased,4,0,4,3,2,Decreased
270765,KAMONYI,Human Health And Social Work Activities,PRIVATE CORPORATION,2021,35,F,Primary,0,Bank Loan,1225132,298350,1455326,391000,Fail,Decreased,5,5,4,3,2,Decreased
251730,NYAMAGABE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,33,M,Bachelor's Degree,4,Foreign Investment,0,648775,521124,657776,Fail,Increased,1,0,1,1,1,Stable
14844509,NYARUGURU,Unclassified,COOPERATIVE,2022,49,F,Primary,2,Personal Savings,0,56117554,29500796,47708484,Success,Decreased,3,0,3,2,2,Decreased
5451018,GATSIBO,Other Service Activities,COOPERATIVE,2021,44,F,PhD,2,Personal Savings,16657804,14106353,15424359,14922683,Success,Decreased,4,4,4,3,3,Decreased
33075455,RWAMAGANA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,49,F,Primary,4,Crowdfunding,0,8990448,42165511,108202563,Success,Increased,2,0,2,2,2,Stable
253521,NYARUGENGE,Financial And Insurance Activities,INDIVIDUAL,2022,45,F,Primary,5,Family/Friends,134168,135721,137292,138881,Fail,Stable,1,0,1,1,1,Stable
142749,RULINDO,Other Service Activities,INDIVIDUAL,2022,35,M,PhD,0,Inheritance,0,818666,548387,651478,Success,Decreased,2,0,2,2,1,Decreased
4638269,NYANZA,Other Service Activities,JOINT VENTURE,2021,38,F,Bachelor's Degree,4,Family/Friends,9673057,18086934,9507266,15386643,Fail,Increased,2,2,2,1,1,Decreased
22979229,KICUKIRO,Education,PRIVATE CORPORATION,2021,44,M,Bachelor's Degree,2,Family/Friends,18529730,21267366,46022383,53714576,Success,Increased,3,3,3,3,3,Stable
4956624,NYABIHU,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2021,21,M,Vocational/Technical,2,Personal Savings,26059582,15410802,26414588,14346195,Fail,Decreased,2,2,2,1,1,Decreased
50000000,GATSIBO,Financial And Insurance Activities,JOINT VENTURE,2021,21,M,Bachelor's Degree,0,Family/Friends,447844469,679903664,433467591,558963361,Success,Increased,8,8,9,10,11,Increased
30398146,NYAGATARE,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,51,F,No Formal Education,6,Foreign Investment,44924762,69050300,51423484,28773903,Success,Decreased,10,10,9,7,6,Decreased
265937,NYARUGENGE,Financial And Insurance Activities,SOLE PROPRIETORSHIP,2022,57,F,Diploma,8,Personal Savings,368274,436499,517363,613207,Success,Increased,1,0,1,1,1,Stable
50000000,GICUMBI,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,21,M,Primary,1,Personal Savings,167493776,139425912,73720984,235503624,Success,Increased,3,3,3,3,3,Stable
50000000,KIREHE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,26,M,No Formal Education,1,Bank Loan,365424,29276561,56818720,106240390,Success,Increased,5,5,6,6,7,Increased
1717186,KICUKIRO,Other Service Activities,INDIVIDUAL,2022,43,F,Master's Degree,14,Bank Loan,624287,579316,537585,498860,Fail,Decreased,2,0,2,1,1,Decreased
1452235,MUSANZE,"Professional, Scientific And Technical Activities",INDIVIDUAL,2022,59,M,Vocational/Technical,7,Microfinance,0,7886219,5903741,6958975,Fail,Decreased,1,0,1,1,1,Stable
